Record Length,2500,Points,,,Tiempo,Voltaje,
,,,,-9,98000000,-4.320.000.076,
,,,,-9,96000000,-4.320.000.076,
,,,,-9,94000000,-4.320.000.076,
,,,,-9,92000000,-4.240.000.153,
,,,,-9,90000000,-4.320.000.076,
,,,,-9,88000000,-4.320.000.076,
,,,,-9,86000000,-4.320.000.076,
,,,,-9,84000000,-4.320.000.076,
,,,,-9,82000000,-4.320.000.076,
,,,,-9,80000000,-4.320.000.076,
,,,,-9,78000000,-4.320.000.076,
,,,,-9,76000000,-4.320.000.076,
,,,,-9,74000000,-4.320.000.076,
,,,,-9,72000000,-4.320.000.076,
,,,,-9,70000000,-4.320.000.076,
,,,,-9,68000000,-4.400.000.000,
,,,,-9,66000000,-4.320.000.076,
,,,,-9,64000000,-4.320.000.076,
,,,,-9,62000000,-4.400.000.000,
,,,,-9,60000000,-4.320.000.076,
,,,,-9,58000000,-4.400.000.000,
,,,,-9,56000000,-4.320.000.076,
,,,,-9,54000000,-4.400.000.000,
,,,,-9,52000000,-4.400.000.000,
,,,,-9,50000000,-4.320.000.076,
,,,,-9,48000000,-4.400.000.000,
,,,,-9,46000000,-4.400.000.000,
,,,,-9,44000000,-4.320.000.076,
,,,,-9,42000000,-4.400.000.000,
,,,,-9,40000000,-4.400.000.000,
