Record Length,2500,Points,Tiempo,Voltaje
,,,-0.00033200008329,-118
,,,-0.00033100010478,-118
,,,-0.00033000009716,-116
,,,-0.00032900008955,-114
,,,-0.00032800008194,-112
,,,-0.00032700010343,-110
,,,-0.00032600009581,-108
,,,-0.0003250000882,-106
,,,-0.00032400008058,-104
,,,-0.00032300010207,-102
,,,-0.00032200009446,-100
,,,-0.00032100008684,-98
,,,-0.00032000007923,-94
,,,-0.00031900010072,-92
,,,-0.0003180000931,-90
,,,-0.00031700008549,-88
,,,-0.00031600007787,-86
,,,-0.00031500009936,-82
,,,-0.00031400009175,-80
,,,-0.00031300008413,-76
,,,-0.00031200007652,-76
,,,-0.00031100009801,-72
,,,-0.00031000009039,-70
,,,-0.00030900008278,-68
,,,-0.00030800010427,-66
,,,-0.00030700009665,-62
,,,-0.00030600008904,-60
,,,-0.00030500008143,-58
,,,-0.00030400010291,-54
,,,-0.0003030000953,-52
,,,-0.00030200008769,-50
,,,-0.00030100008007,-46
,,,-0.00030000010156,-44
,,,-0.00029900009395,-42
,,,-0.00029800008633,-38
,,,-0.00029700007872,-36
,,,-0.00029600010021,-32
,,,-0.00029500009259,-30
,,,-0.00029400008498,-28
,,,-0.00029300007736,-26
,,,-0.00029200009885,-24
,,,-0.00029100009124,-20
,,,-0.00029000008362,-18
,,,-0.00028900010511,-14
,,,-0.0002880000975,-14
,,,-0.00028700008988,-12
,,,-0.00028600008227,-6
,,,-0.00028500010376,-4
,,,-0.00028400009614,-2
,,,-0.00028300008853,2
