Record Length,2500,Points,Tiempo1,Voltaje1,,Record Length,2500,Points,Tiempo2,Voltaje2
,,,-0.000982000143267,-8.199999809,,,,,-0.000982000143267,24.80000114
,,,-0.000981000135653,-8.199999809,,,,,-0.000981000135653,24
,,,-0.000980000128038,-8.400000572,,,,,-0.000980000128038,24
,,,-0.000979000120424,-8.400000572,,,,,-0.000979000120424,24
,,,-0.000978000112809,-8.400000572,,,,,-0.000978000112809,24
,,,-0.000977000105195,-8.400000572,,,,,-0.000977000105195,23.20000076
,,,-0.00097600009758,-8.400000572,,,,,-0.00097600009758,24
,,,-0.000975000089966,-8.400000572,,,,,-0.000975000089966,22.39999962
,,,-0.000974000082351,-8.600000381,,,,,-0.000974000082351,22.39999962
,,,-0.000973000074737,-8.400000572,,,,,-0.000973000074737,22.39999962
,,,-0.000972000067122,-8.600000381,,,,,-0.000972000067122,22.39999962
,,,-0.000971000117715,-8.600000381,,,,,-0.000971000117715,22.39999962
,,,-0.000970000110101,-8.600000381,,,,,-0.000970000110101,21.60000038
,,,-0.000969000102486,-8.600000381,,,,,-0.000969000102486,21.60000038
,,,-0.000968000094872,-8.600000381,,,,,-0.000968000094872,20.80000114
,,,-0.000967000087257,-8.600000381,,,,,-0.000967000087257,20.80000114
,,,-0.000966000079643,-8.600000381,,,,,-0.000966000079643,20.80000114
,,,-0.000965000072028,-8.800000191,,,,,-0.000965000072028,20
,,,-0.000964000064414,-8.800000191,,,,,-0.000964000064414,20
,,,-0.000963000115007,-8.600000381,,,,,-0.000963000115007,20
,,,-0.000962000107393,-8.400000572,,,,,-0.000962000107393,20
,,,-0.000961000099778,-8.600000381,,,,,-0.000961000099778,19.2000008
,,,-0.000960000092164,-8.400000572,,,,,-0.000960000092164,19.2000008
,,,-0.000959000084549,-8.600000381,,,,,-0.000959000084549,19.2000008
,,,-0.000958000076935,-8.400000572,,,,,-0.000958000076935,18.3999996
,,,-0.00095700006932,-8.600000381,,,,,-0.00095700006932,18.3999996
,,,-0.000956000061706,-8.600000381,,,,,-0.000956000061706,18.3999996
,,,-0.000955000112299,-8.600000381,,,,,-0.000955000112299,18.3999996
,,,-0.000954000104684,-8.400000572,,,,,-0.000954000104684,17.6000004
,,,-0.00095300009707,-8.600000381,,,,,-0.00095300009707,17.6000004
,,,-0.000952000089455,-8.400000572,,,,,-0.000952000089455,17.6000004
,,,-0.000951000081841,-8.400000572,,,,,-0.000951000081841,16.8000011
,,,-0.000950000074226,-8.400000572,,,,,-0.000950000074226,16.8000011
,,,-0.000949000066612,-8.600000381,,,,,-0.000949000066612,16.8000011
,,,-0.000948000117205,-8.600000381,,,,,-0.000948000117205,16.8000011
,,,-0.000947000109591,-8.400000572,,,,,-0.000947000109591,16.8000011
,,,-0.000946000101976,-8.400000572,,,,,-0.000946000101976,16.8000011
,,,-0.000945000094362,-8.400000572,,,,,-0.000945000094362,16
,,,-0.000944000086747,-8.199999809,,,,,-0.000944000086747,16
,,,-0.000943000079133,-8.199999809,,,,,-0.000943000079133,16
,,,-0.000942000071518,-8.199999809,,,,,-0.000942000071518,15.1999998
,,,-0.000941000063904,-8.199999809,,,,,-0.000941000063904,15.1999998
,,,-0.000940000114497,-8.199999809,,,,,-0.000940000114497,15.1999998
,,,-0.000939000106882,-8.199999809,,,,,-0.000939000106882,14.4000006
,,,-0.000938000099268,-8.199999809,,,,,-0.000938000099268,15.1999998
,,,-0.000937000091653,-8,,,,,-0.000937000091653,14.4000006
,,,-0.000936000084039,-8.199999809,,,,,-0.000936000084039,15.1999998
,,,-0.000935000076424,-8,,,,,-0.000935000076424,14.4000006
,,,-0.00093400006881,-8,,,,,-0.00093400006881,14.4000006
,,,-0.000933000061195,-8,,,,,-0.000933000061195,14.4000006
,,,-0.000932000111789,-8,,,,,-0.000932000111789,14.4000006
,,,-0.000931000104174,-7.800000191,,,,,-0.000931000104174,13.6000004
,,,-0.00093000009656,-7.800000191,,,,,-0.00093000009656,13.6000004
,,,-0.000929000088945,-7.800000191,,,,,-0.000929000088945,14.4000006
,,,-0.000928000081331,-7.599999905,,,,,-0.000928000081331,13.6000004
,,,-0.000927000073716,-7.800000191,,,,,-0.000927000073716,12.8000002
,,,-0.000926000066102,-7.800000191,,,,,-0.000926000066102,13.6000004
,,,-0.000925000116695,-7.599999905,,,,,-0.000925000116695,12.8000002
,,,-0.00092400010908,-7.800000191,,,,,-0.00092400010908,12.8000002
,,,-0.000923000101466,-7.400000095,,,,,-0.000923000101466,12.8000002
,,,-0.000922000093851,-7.599999905,,,,,-0.000922000093851,12.8000002
,,,-0.000921000086237,-7.599999905,,,,,-0.000921000086237,12.8000002
,,,-0.000920000078622,-7.20000029,,,,,-0.000920000078622,12
,,,-0.000919000071008,-7.400000095,,,,,-0.000919000071008,12.8000002
,,,-0.000918000063393,-7.400000095,,,,,-0.000918000063393,12
,,,-0.000917000113986,-7.599999905,,,,,-0.000917000113986,12
,,,-0.000916000106372,-7.20000029,,,,,-0.000916000106372,12
,,,-0.000915000098757,-7.400000095,,,,,-0.000915000098757,12
,,,-0.000914000091143,-7.20000029,,,,,-0.000914000091143,12
,,,-0.000913000083528,-7.400000095,,,,,-0.000913000083528,12
,,,-0.000912000075914,-7.20000029,,,,,-0.000912000075914,12
,,,-0.000911000068299,-7.20000029,,,,,-0.000911000068299,12
,,,-0.000910000060685,-7.20000029,,,,,-0.000910000060685,12
,,,-0.000909000111278,-7.400000095,,,,,-0.000909000111278,12
,,,-0.000908000103664,-7,,,,,-0.000908000103664,12.8000002
,,,-0.000907000096049,-7.20000029,,,,,-0.000907000096049,12
,,,-0.000906000088435,-7.20000029,,,,,-0.000906000088435,12
,,,-0.00090500008082,-7,,,,,-0.00090500008082,12
,,,-0.000904000073206,-7.20000029,,,,,-0.000904000073206,12
,,,-0.000903000065591,-7.400000095,,,,,-0.000903000065591,12
,,,-0.000902000116184,-7.400000095,,,,,-0.000902000116184,12
,,,-0.00090100010857,-7.400000095,,,,,-0.00090100010857,12
,,,-0.000900000100955,-7.20000029,,,,,-0.000900000100955,12
,,,-0.000899000093341,-7.400000095,,,,,-0.000899000093341,12
,,,-0.000898000085726,-7.400000095,,,,,-0.000898000085726,12
,,,-0.000897000078112,-7.400000095,,,,,-0.000897000078112,12
,,,-0.000896000070497,-7.400000095,,,,,-0.000896000070497,12
,,,-0.000895000062883,-7.400000095,,,,,-0.000895000062883,12.8000002
,,,-0.000894000113476,-7.20000029,,,,,-0.000894000113476,12.8000002
,,,-0.000893000105862,-7.400000095,,,,,-0.000893000105862,12
,,,-0.000892000098247,-7.599999905,,,,,-0.000892000098247,12
,,,-0.000891000090633,-7.599999905,,,,,-0.000891000090633,12.8000002
,,,-0.000890000083018,-7.599999905,,,,,-0.000890000083018,12.8000002
,,,-0.000889000075404,-7.599999905,,,,,-0.000889000075404,12.8000002
,,,-0.000888000067789,-7.800000191,,,,,-0.000888000067789,12.8000002
,,,-0.000887000118382,-8,,,,,-0.000887000118382,12.8000002
,,,-0.000886000110768,-8,,,,,-0.000886000110768,12.8000002
,,,-0.000885000103153,-7.599999905,,,,,-0.000885000103153,13.6000004
,,,-0.000884000095539,-7.800000191,,,,,-0.000884000095539,13.6000004
,,,-0.000883000087924,-8,,,,,-0.000883000087924,13.6000004
,,,-0.00088200008031,-8,,,,,-0.00088200008031,13.6000004
,,,-0.000881000072695,-8.199999809,,,,,-0.000881000072695,13.6000004
,,,-0.000880000065081,-8.199999809,,,,,-0.000880000065081,13.6000004
,,,-0.000879000115674,-8.199999809,,,,,-0.000879000115674,13.6000004
,,,-0.000878000108059,-8.199999809,,,,,-0.000878000108059,13.6000004
,,,-0.000877000100445,-8.400000572,,,,,-0.000877000100445,14.4000006
,,,-0.000876000092831,-8.199999809,,,,,-0.000876000092831,14.4000006
,,,-0.000875000085216,-8.400000572,,,,,-0.000875000085216,14.4000006
,,,-0.000874000077602,-8.400000572,,,,,-0.000874000077602,15.1999998
,,,-0.000873000069987,-8.400000572,,,,,-0.000873000069987,14.4000006
,,,-0.000872000062373,-8.400000572,,,,,-0.000872000062373,15.1999998
,,,-0.000871000112966,-8.400000572,,,,,-0.000871000112966,15.1999998
,,,-0.000870000105351,-8.400000572,,,,,-0.000870000105351,15.1999998
,,,-0.000869000097737,-8.600000381,,,,,-0.000869000097737,15.1999998
,,,-0.000868000090122,-8.600000381,,,,,-0.000868000090122,16
,,,-0.000867000082508,-8.600000381,,,,,-0.000867000082508,16
,,,-0.000866000074893,-8.800000191,,,,,-0.000866000074893,16
,,,-0.000865000067279,-8.800000191,,,,,-0.000865000067279,16
,,,-0.000864000117872,-8.800000191,,,,,-0.000864000117872,16.8000011
,,,-0.000863000110257,-8.800000191,,,,,-0.000863000110257,16.8000011
,,,-0.000862000102643,-8.800000191,,,,,-0.000862000102643,17.6000004
,,,-0.000861000095028,-9,,,,,-0.000861000095028,17.6000004
,,,-0.000860000087414,-8.800000191,,,,,-0.000860000087414,17.6000004
,,,-0.000859000079799,-9,,,,,-0.000859000079799,18.3999996
,,,-0.000858000072185,-9,,,,,-0.000858000072185,18.3999996
,,,-0.00085700006457,-9,,,,,-0.00085700006457,18.3999996
